"Page,""Total d’abonnés"",""Nouveaux abonnés"",""Total des interactions avec les posts"",""Total des réactions aux posts"",""Total des commentaires sur les posts"",""Total des partages de posts"",""Total de posts"""
"ON-X Groupe,""4974"",""1462"",""2599"",""2250"",""56"",""293"",""107"""
"ON-X Blockchain (Chain Accelerator),""11239"",""129"",""203"",""164"",""28"",""11"",""41"""
"HARMONIE TECHNOLOGIE,""5329"",""1215"",""1956"",""1696"",""41"",""219"",""57"""
"Sopra Steria,""412704"",""83121"",""113693"",""99532"",""2805"",""11356"",""500"""
"Intrinsec,""5935"",""1755"",""4045"",""3533"",""83"",""429"",""116"""
"WALLIX Group,""8786"",""1816"",""6712"",""5028"",""218"",""1466"",""239"""
"ALTEN,""377355"",""107373"",""28427"",""26444"",""588"",""1395"",""241"""
"SQUAD Conseil et Expertises,""11054"",""2922"",""6909"",""5471"",""229"",""1209"",""233"""
"OCTO Technology,""45595"",""10323"",""13083"",""11112"",""720"",""1251"",""462"""
"Devoteam,""179666"",""65268"",""42421"",""34906"",""1785"",""5730"",""497"""
