Campaign ID;Campaign Group Name;Campaign Group Start Date;Date Lancement Pub;Campaign Name;Daily Budget;Total Budget;Total Spent;Impressions;Clicks;Click Through Rate;Average CPM;Average CPC;Reactions;Comments;Shares;Follows;Other Clicks;Total Social Actions;Total Engagements;Engagement Rate;Leads;Lead Forms Opened;Lead Form Completion Rate;Cost per Lead;Campaign Objective;Video Plays;Type Contenu
148461933;Default Campaign Group;1/31/2019;01/02/2019;Developpeur C# - février 2019;35.00;500.00;500.00;15270;182;1.192%;32.74;2.75;12;0;3;0;19;34;216;1.415%;0;0;0%;0;Website visits;;photo
151633993;Default Campaign Group;1/31/2019;20/05/2019;RGPD - DSI + RSSI + DPO;40.00;500.00;500.00;18500;133;0.719%;27.03;3.76;21;0;1;0;109;131;258;1.395%;0;0;0%;0;Website visits;11810;vidéo
151634503;Default Campaign Group;1/31/2019;20/05/2019;RGPD - Dirigeants - mai 2019;40.00;500.00;500.00;22211;120;0.54%;22.51;4.17;14;0;1;0;78;93;207;0.932%;0;0;0%;0;Website visits;14251;vidéo
156506933;Default Campaign Group;1/31/2019;06/11/2019;Recrutement TELSEC - Nov 2019;25.00;500.00;500.00;20424;105;0.514%;24.48;4.76;9;0;0;0;164;173;276;1.351%;0;0;0%;0;Website visits;12370;vidéo
162175493;Default Campaign Group;1/31/2019;16/06/2020;Free pentest Anozr Way;50.00;500.00;500.00;17441;76;0.436%;28.67;6.58;10;1;2;0;173;186;1080;6.192%;0;0;0%;0;Website visits;13443;vidéo
163811953;Default Campaign Group;1/31/2019;04/05/2020;Free pentest juin 2020 - direction g‚n‚rale;100.00;500.00;500.00;14626;56;0.383%;34.19;8.93;5;0;0;0;95;100;825;5.641%;0;0;0%;0;Website visits;9547;vidéo
165473126;Webinar Innoactive juin 2021;06/02/2021;02/06/2021;Inscription webinar 1 - 02/06/2021;25.00;300.00;300.00;11809;57;0.483%;25.40;5.26;1;0;0;0;4;5;64;0.542%;0;0;0%;0;Website visits;;photo
177592824;XR PTC;4/27/2021;04/05/2021;PTC 2 EA1 - May 4, 2021;25.00;200.00;200.00;7093;30;0.423%;28.20;6.67;2;0;0;0;21;23;58;0.818%;0;0;0%;0;Website visits;;photo
177594234;XR PTC;4/27/2021;04/05/2021;PTC 2 Pragmatiques- May 4, 2021;25.00;;237.33;9413;39;0.414%;25.21;6.09;4;0;0;0;30;34;77;0.818%;0;0;0%;0;Website visits;;photo
177927164;XR PTC;4/27/2021;10/05/2021;PTC 2 EA2 - May 11, 2021;25.00;200.00;200.00;9943;48;0.483%;20.11;4.17;4;0;0;0;34;38;85;0.855%;5;28;18%;40;Lead generation;;photo
178047534;XR PTC;4/27/2021;11/05/2021;PTC 2 Pragmatique 2 - 11 May 2021;25.00;200.00;200.00;8203;51;0.622%;24.38;3.92;0;0;0;0;78;78;133;1.621%;4;34;12%;50;Lead generation;;photo
178774754;XR PTC;4/27/2021;27/05/2021;PTC 2 EA3 - May 27, 2021;25.00;200.00;200.00;9042;29;0.321%;22.12;6.90;1;0;1;0;22;24;53;0.586%;1;19;5%;200;Lead generation;;photo
178776694;XR PTC;4/27/2021;27/05/2021;PTC2 Pragmatiques 3 - May 27, 2021;25.00;162.00;162.00;7813;28;0.358%;20.73;5.79;1;0;0;0;55;56;85;1.088%;3;20;15%;54;Lead generation;;photo
179470244;Webinar Innoactive juin 2021;06/02/2021;10/06/2021;Inscription webinar 2 - 10/06/2021;60.00;300.00;300.00;7733;35;0.453%;38.79;8.57;0;0;0;0;8;8;45;0.582%;0;0;0%;0;Website visits;;photo
181500014;XR PTC;4/27/2021;28/07/2021;PTC 3 Chalk (summer) - Jul 28, 2021;50.00;500.00;500.00;12887;65;0.504%;38.80;7.69;6;0;0;0;170;176;263;2.041%;0;0;0%;0;Website visits;;photo
182329594;XR PTC;4/27/2021;19/08/2021;PTC 3 Chalk (video produit) - Aug 19, 2021;80.00;900.00;490.84;25660;121;0.472%;19.13;4.06;11;0;0;0;204;215;356;1.387%;0;0;0%;0;Website visits;18198;vidéo
